Age,Country,EdLevel,MainBranch,Employment,ConvertedCompYearly
45-54 years old,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",171850.0
35-44 years old,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
18-24 years old,Austria,Something else,I am a developer by profession,"Employed, full-time",
25-34 years old,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",115874.0
35-44 years old,Hungary,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
35-44 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",90000.0
25-34 years old,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",41872.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",94088.0
18-24 years old,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Netherlands,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","I used to be a developer by profession, but no longer am","Employed, full-time",
18-24 years old,Germany,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
35-44 years old,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",85846.0
25-34 years old,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",4785.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",40000.0
35-44 years old,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",612.0
Under 18 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
35-44 years old,Romania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",64732.0
35-44 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time;Independent contractor, freelancer, or self-employed",11878.0
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",24525.0
45-54 years old,Georgia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",75000.0
35-44 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",22252.0
25-34 years old,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",90221.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",29909.0
18-24 years old,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am learning to code,"Student, part-time;Employed, part-time",
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, part-time",38216.0
25-34 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Romania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",73579.0
35-44 years old,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",102950.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
18-24 years old,Switzerland,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, part-time",
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Student, full-time;Independent contractor, freelancer, or self-employed",
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",82802.0
18-24 years old,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",75399.0
25-34 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",53703.0
25-34 years old,Armenia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",76433.0
25-34 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",74239.0
18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",
35-44 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",10336.0
18-24 years old,Switzerland,Primary/elementary school,I code primarily as a hobby,"Not employed, but looking for work;Employed, part-time",
45-54 years old,Malaysia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",21189.0
18-24 years old,Germany,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",53703.0
25-34 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",66592.0
25-34 years old,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",89134.0
25-34 years old,Luxembourg,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",214812.0
25-34 years old,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",59073.0
25-34 years old,Germany,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",59073.0
Under 18 years old,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",17158.0
18-24 years old,Bangladesh,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",3867.0
35-44 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",35890.0
35-44 years old,Hungary,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",43481.0
18-24 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",36000.0
35-44 years old,Bulgaria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",80000.0
55-64 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",75184.0
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",17945.0
45-54 years old,Latvia,Some college/university study without earning a degree,I am a developer by profession,"Independent contractor, freelancer, or self-employed",64444.0
25-34 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",64444.0
25-34 years old,"Iran, Islamic Republic of...","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Independent contractor, freelancer, or self-employed;Employed, part-time",285120.0
18-24 years old,"Iran, Islamic Republic of...","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",1188001.0
35-44 years old,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",24989.0
18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time;Student, full-time",1933.0
18-24 years old,Rwanda,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Student, full-time;Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",
25-34 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",84000.0
25-34 years old,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",85925.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",63694.0
35-44 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Portugal,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",45111.0
35-44 years old,Russian Federation,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time",50420.0
45-54 years old,Denmark,Some college/university study without earning a degree,I am a developer by profession,"Independent contractor, freelancer, or self-employed",100801.0
35-44 years old,Denmark,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",83049.0
18-24 years old,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",20407.0
35-44 years old,Bulgaria,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",10767.0
35-44 years old,Lithuania,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",85925.0
35-44 years old,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Latvia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",74213.0
18-24 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",24000.0
25-34 years old,Iceland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",89805.0
18-24 years old,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",5099.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",
18-24 years old,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",34645.0
35-44 years old,Lithuania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",38283.0
25-34 years old,Viet Nam,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",38283.0
55-64 years old,Hungary,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
18-24 years old,Pakistan,Primary/elementary school,I am a developer by profession,"Employed, full-time",5168.0
25-34 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",115999.0
25-34 years old,Russian Federation,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",23529.0
25-34 years old,Palestine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
45-54 years old,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time",128887.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",42038.0
18-24 years old,Austria,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Student, part-time;Employed, part-time",35444.0
18-24 years old,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Saudi Arabia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",146652.0
35-44 years old,Sweden,Some college/university study without earning a degree,I am a developer by profession,"Independent contractor, freelancer, or self-employed",123999.0
25-34 years old,Thailand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
25-34 years old,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",20168.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",240000.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",14356.0
25-34 years old,Croatia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",51662.0
35-44 years old,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
45-54 years old,Austria,Some college/university study without earning a degree,I am a developer by profession,"Independent contractor, freelancer, or self-employed",85925.0
25-34 years old,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",39947.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",64051.0
25-34 years old,Philippines,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",20426.0
25-34 years old,Côte d'Ivoire,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
18-24 years old,Israel,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
18-24 years old,Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",52122.0
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, part-time",
18-24 years old,Russian Federation,Some college/university study without earning a degree,I am a developer by profession,"Independent contractor, freelancer, or self-employed",6723.0
Under 18 years old,Taiwan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed;Student, part-time",
35-44 years old,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Thailand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",54494.0
35-44 years old,Israel,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",80953.0
25-34 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",57999.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",50955.0
35-44 years old,Italy,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",33296.0
35-44 years old,Georgia,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Employed, part-time",49291.0
35-44 years old,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",91045.0
25-34 years old,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",59073.0
25-34 years old,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",67129.0
25-34 years old,Pakistan,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Sri Lanka,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",3160.0
25-34 years old,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",61783.0
35-44 years old,Hungary,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",39404.0
45-54 years old,Switzerland,Some college/university study without earning a degree,I am a developer by profession,"Independent contractor, freelancer, or self-employed",167125.0
25-34 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",140000.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,Primary/elementary school,I am a developer by profession,"Independent contractor, freelancer, or self-employed",226103.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
55-64 years old,Malaysia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",52972.0
35-44 years old,Czech Republic,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",304044.0
25-34 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Australia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",198198.0
25-34 years old,Germany,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",49622.0
35-44 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
18-24 years old,Germany,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
18-24 years old,Romania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",36681.0
35-44 years old,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",41307.0
55-64 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
35-44 years old,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",64444.0
25-34 years old,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed;Employed, part-time",200550.0
25-34 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",8951.0
25-34 years old,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",80555.0
25-34 years old,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",62706.0
25-34 years old,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",56917.0
18-24 years old,Kenya,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I used to be a developer by profession, but no longer am","Independent contractor, freelancer, or self-employed",
25-34 years old,Jordan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
Under 18 years old,Germany,Primary/elementary school,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed;Student, part-time",
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",75184.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
55-64 years old,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",148221.0
25-34 years old,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",73363.0
18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",130000.0
35-44 years old,Finland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",82703.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
18-24 years old,India,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",11963.0
18-24 years old,Finland,Some college/university study without earning a degree,I am learning to code,"Student, full-time;Independent contractor, freelancer, or self-employed",
45-54 years old,Finland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time",84765.0
35-44 years old,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time",128887.0
18-24 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Independent contractor, freelancer, or self-employed",27854.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",26320.0
25-34 years old,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",10767.0
55-64 years old,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",99099.0
25-34 years old,Egypt,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",35612.0
18-24 years old,India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I code primarily as a hobby,"Student, full-time;Employed, part-time",
55-64 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",101910.0
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",190000.0
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
45-54 years old,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, part-time",167125.0
25-34 years old,Russian Federation,Some college/university study without earning a degree,I code primarily as a hobby,"Employed, full-time",
18-24 years old,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Student, full-time;Employed, part-time",14400.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",61146.0
18-24 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",44681.0
25-34 years old,Burkina Faso,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am learning to code,"Independent contractor, freelancer, or self-employed",
45-54 years old,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",107406.0
35-44 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",80555.0
25-34 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",69814.0
18-24 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",38666.0
35-44 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",2797.0
18-24 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",120000.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",76000.0
35-44 years old,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",98271.0
18-24 years old,Belgium,Something else,I am a developer by profession,"Employed, full-time",44681.0
18-24 years old,Kazakhstan,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",6646.0
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",10423.0
35-44 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",69814.0
35-44 years old,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",4307.0
35-44 years old,Thailand,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",627.0
